adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
158,2.43907590910731e-12,2.75631445727195,2.64625913768853,2.65094144966744,2.6142077625049,2.90805503792768
159,2.4910749598905e-12,2.79681342312524,2.69647959944078,2.69702712669687,2.64523134825401,2.95738430024295
160,2.54307401067369e-12,2.81345349796353,2.7166251281095,2.6790161848117,2.67287341876733,2.97570812717225
161,2.59507306145688e-12,2.87124839556961,2.73083116121087,2.72869879018445,2.72049227350711,3.01563436356122
162,2.64707211224007e-12,2.88784380332225,2.79049711532739,2.75994209603236,2.68504332670108,3.0418675868328
163,2.69907116302326e-12,2.92991412141717,2.8028197467227,2.8033290308521,2.78986040958824,3.06976112169348
164,2.75107021380645e-12,2.96379773712448,2.86208344930416,2.8062568157468,2.78822547913646,3.10697670113518
165,2.80306926458964e-12,2.95128466432989,2.87491281369384,2.85293459657144,2.77194025258178,3.1267894433628
166,2.85506831537284e-12,3.00843166857367,2.90726610338272,2.89003771787491,2.86623699287319,3.15832821745291
167,2.90706736615603e-12,3.00127742965859,2.90347461412549,2.91309615421938,2.88430638247951,3.20140229008132
168,2.95906641693922e-12,3.134043368019,2.95696178466689,2.94411743576496,2.90003456567353,3.24204818438532
169,3.01106546772241e-12,3.09395020161333,2.9702892954276,2.96169850198686,2.89544545648099,3.30290692439352
170,3.0630645185056e-12,3.10314357618178,3.02143793643745,2.987021650622,2.96223804919626,3.3727777012761
171,3.11506356928879e-12,3.21687156731687,3.0397306151207,3.02203004772428,3.00662789874976,3.39940531175678
172,3.16706262007198e-12,3.23044611648851,3.07524884314866,3.03825786039152,3.00790719448383,3.45290572424302
173,3.21906167085517e-12,3.29160481472043,3.10874053446291,3.0342622797026,3.04412278978553,3.4725809382985
174,3.27106072163836e-12,3.34750020088379,3.1484427374287,3.07883815793204,3.07018364581364,3.48857256387056
175,3.32305977242155e-12,3.34365435760534,3.14736411199887,3.11111757193695,3.11551311591769,3.53472709234913
176,3.37505882320475e-12,3.46761111164561,3.19679513513246,3.12614551760174,3.16286153570984,3.55094425093986
177,3.42705787398794e-12,3.43004068238064,3.26556160533741,3.14819158413126,3.15410191301512,3.56339462415108
178,3.47905692477113e-12,3.42003473471246,3.28009710080414,3.17235620071486,3.17206872756426,3.60577730037545
179,3.53105597555432e-12,3.48269506844058,3.30369405283985,3.18154709722281,3.2083752991725,3.62344735296716
180,3.58305502633751e-12,3.52298468424888,3.34769564185539,3.21574917488041,3.23724761099199,3.63604214725134
181,3.6350540771207e-12,3.58454952831327,3.36281349957721,3.24593516946321,3.25425366335057,3.66916511853015
182,3.68705312790389e-12,3.5976929310382,3.36902835783525,3.30238858962823,3.23971871182831,3.69783752358466
183,3.73905217868708e-12,3.63948140596729,3.41360108046968,3.33201652151161,3.2758652600976,3.71217766047497
184,3.79105122947027e-12,3.65660506584834,3.38799491193006,3.34812324128158,3.30666689865429,3.75940879507879
185,3.84305028025346e-12,3.68064721604763,3.38261207195987,3.36407898522051,3.31072881420968,3.78722723369805
186,3.89504933103666e-12,3.68593355955965,3.4490963493171,3.42446883923696,3.33963258912046,3.81975596567387
187,3.94704838181985e-12,3.73200829182452,3.48262669236924,3.4467958283269,3.33055477059334,3.86652822161058
