adc,\sigma_{sca} (m^{2})
930,1.17674852578256e-11
931,1.17881223288792e-11
932,1.18087593999328e-11
933,1.18293964709864e-11
934,1.185003354204e-11
935,1.18706706130936e-11
936,1.18913076841472e-11
937,1.19119447552008e-11
938,1.19325818262544e-11
939,1.19532188973081e-11
940,1.19738559683617e-11
941,1.19944930394153e-11
942,1.20151301104689e-11
943,1.20357671815225e-11
944,1.20564042525761e-11
945,1.20770413236297e-11
946,1.20976783946833e-11
947,1.21183154657369e-11
948,1.21389525367905e-11
949,1.21595896078441e-11
950,1.21802266788978e-11
951,1.22008637499514e-11
952,1.2221500821005e-11
953,1.22421378920586e-11
954,1.22627749631122e-11
955,1.22834120341658e-11
956,1.23040491052194e-11
957,1.2324686176273e-11
958,1.23453232473266e-11
959,1.23659603183802e-11
960,1.23865973894338e-11
961,1.24072344604875e-11
962,1.24278715315411e-11
963,1.24485086025947e-11
964,1.24691456736483e-11
965,1.24897827447019e-11
966,1.25104198157555e-11
967,1.25310568868091e-11
968,1.25516939578627e-11
969,1.25723310289163e-11
970,1.25929680999699e-11
971,1.26136051710235e-11
972,1.26342422420771e-11
973,1.26548793131308e-11
974,1.26755163841844e-11
975,1.2696153455238e-11
976,1.27167905262916e-11
977,1.27374275973452e-11
978,1.27580646683988e-11
979,1.27787017394524e-11
980,1.2799338810506e-11
981,1.28199758815596e-11
982,1.28406129526132e-11
983,1.28612500236668e-11
984,1.28818870947205e-11
985,1.29025241657741e-11
986,1.29231612368277e-11
987,1.29437983078813e-11
988,1.29644353789349e-11
989,1.29850724499885e-11
990,1.30057095210421e-11
991,1.30263465920957e-11
992,1.30469836631493e-11
993,1.30676207342029e-11
994,1.30882578052565e-11
995,1.31088948763102e-11
996,1.31295319473638e-11
997,1.31501690184174e-11
998,1.3170806089471e-11
999,1.31914431605246e-11
1000,1.32120802315782e-11
1001,1.32327173026318e-11
1002,1.32533543736854e-11
1003,1.3273991444739e-11
1004,1.32946285157926e-11
1005,1.33152655868462e-11
1006,1.33359026578998e-11
1007,1.33565397289535e-11
1008,1.33771768000071e-11
1009,1.33978138710607e-11
1010,1.34184509421143e-11
1011,1.34390880131679e-11
1012,1.34597250842215e-11
1013,1.34803621552751e-11
1014,1.35009992263287e-11
1015,1.35216362973823e-11
1016,1.35422733684359e-11
1017,1.35629104394895e-11
1018,1.35835475105432e-11
1019,1.36041845815968e-11
1020,1.36248216526504e-11
1021,1.3645458723704e-11
1022,1.36660957947576e-11
1023,1.36867328658112e-11
1024,1.37073699368648e-11
1025,1.37280070079184e-11
1026,1.3748644078972e-11
1027,1.37692811500256e-11
1028,1.37899182210792e-11
1029,1.38105552921329e-11
1030,1.38311923631865e-11
1031,1.38518294342401e-11
1032,1.38724665052937e-11
1033,1.38931035763473e-11
1034,1.39137406474009e-11
1035,1.39343777184545e-11
1036,1.39550147895081e-11
1037,1.39756518605617e-11
1038,1.39962889316153e-11
1039,1.40169260026689e-11
