P11,\sigma_{sca} radii (um),\sigma_{sca} (m^{2}),radii (um)
89.9724461668743,1.40480416831782,6.19985378080163e-12,3.23
95.2036490093058,1.44506645728861,6.56032739358565e-12,3.24
93.1131952506878,1.42911322471847,6.41627765179113e-12,3.25
93.8681550897813,1.43489513853372,6.46830069675843e-12,3.26
93.9663812205281,1.43564569842644,6.47506929841404e-12,3.27
93.9735317784078,1.43570032153865,6.4755620316362e-12,3.28
92.678715133726,1.42577509792486,6.38633833913942e-12,3.29
91.4962603242276,1.41665042082595,6.30485731651948e-12,3.3
91.6899118304726,1.41814879618144,6.31820152437756e-12,3.31
93.4027540303922,1.43133359244585,6.43623067265027e-12,3.32
95.9053213283198,1.45038191374386,6.60867848289419e-12,3.33
96.0716507384556,1.4516390737158,6.62013996989629e-12,3.34
96.8052938109956,1.45717119219878,6.67069411142324e-12,3.35
96.813537396836,1.45723323457071,6.67126216341045e-12,3.36
99.1369451297767,1.47461548168431,6.83136438171293e-12,3.37
94.5730452382131,1.440272636995,6.51687352141744e-12,3.38
94.1719118415255,1.43721491911331,6.48923207659724e-12,3.39
94.5909415735686,1.4404089040612,6.51810672855077e-12,3.4
99.0900526812115,1.47426668886353,6.8281330999493e-12,3.41
97.8930519451332,1.46533511573703,6.74564974137269e-12,3.42
99.4626716803431,1.47703600978197,6.85380966437526e-12,3.43
100.096149379836,1.48173216495187,6.89746157423856e-12,3.44
100.252338606307,1.4828877558106,6.90822431780624e-12,3.45
98.7826659100604,1.47197825498256,6.80695158142356e-12,3.46
97.7653414510872,1.46437897154394,6.73684942057347e-12,3.47
97.4217649841506,1.4618035754068,6.71317412943399e-12,3.48
98.282399645942,1.46824624522221,6.77247905320921e-12,3.49
101.055800909016,1.4888181249562,6.96358958803515e-12,3.5
